Date,Game #,Player,Tries,Time,Hints
10/19/22,114,Fox,6,,0
10/20/22,115,Fox,4,,0
10/21/22,116,Fox,12,,0
10/22/22,117,Fox,9,3:37,0
10/23/22,118,Fox,1,0:50,0
10/24/22,119,Fox,2,0:32,0
10/25/22,120,Fox,19,9:13,0
10/26/22,121,Fox,8,2:57,0
10/27/22,122,Fox,,,
10/28/22,123,Fox,,,
10/29/22,124,Fox,9,3:10,0
10/30/22,125,Fox,6,2:15,0
10/31/22,126,Fox,,,
11/01/22,127,Fox,,,
11/02/22,128,Fox,,,
11/03/22,129,Fox,,,
11/04/22,130,Fox,,,
11/05/22,131,Fox,1,0:17,0
11/06/22,132,Fox,,,
11/07/22,133,Fox,,,
11/08/22,134,Fox,,,
11/09/22,135,Fox,,,
11/10/22,136,Fox,,,
11/11/22,137,Fox,,,
11/12/22,138,Fox,11,2:49,0
11/13/22,139,Fox,,,
11/14/22,140,Fox,,,
11/15/22,141,Fox,,,
11/16/22,142,Fox,23,5:28,0
11/17/22,143,Fox,7,4:25,0
11/18/22,144,Fox,30,12:31,0
11/19/22,145,Fox,31,8:53,0
11/20/22,146,Fox,7,3:03,0
11/21/22,147,Fox,2,1:09,0
11/22/22,148,Fox,,,
11/23/22,149,Fox,3,3:10,0
11/24/22,150,Fox,20,6:44,0
11/25/22,151,Fox,2,1:22,0
11/26/22,152,Fox,2,0:54,0
11/27/22,153,Fox,23,11:13,0
11/28/22,154,Fox,2,1:06,0
11/29/22,155,Fox,14,7:13,0
11/30/22,156,Fox,9,3:15,0
12/01/22,157,Fox,7,3:58,0
12/02/22,158,Fox,,,
12/03/22,159,Fox,11,6:19,0
12/04/22,160,Fox,1,0:42,0
12/05/22,161,Fox,3,1:46,0
12/06/22,162,Fox,1,0:27,0
12/07/22,163,Fox,4,1:44,0
12/08/22,164,Fox,6,3:10,0
12/09/22,165,Fox,1,0:28,0
12/10/22,166,Fox,2,1:17,0
12/11/22,167,Fox,3,1:22,0
12/12/22,168,Fox,6,3:14,0
12/13/22,169,Fox,34,11:49,0
12/14/22,170,Fox,,,
12/15/22,171,Fox,1,0:58,0
12/16/22,172,Fox,3,1:26,0
12/17/22,173,Fox,2,0:37,0
12/18/22,174,Fox,6,2:18,0
12/19/22,175,Fox,4,2:24,0
12/20/22,176,Fox,6,2:28,0
12/21/22,177,Fox,4,1:40,0
12/22/22,178,Fox,1,0:37,0
12/23/22,179,Fox,5,4:57,0
12/24/22,180,Fox,3,2:16,0
12/25/22,181,Fox,5,2:27,0
12/26/22,182,Fox,1,0:25,0
12/27/22,183,Fox,2,1:06,0
12/28/22,184,Fox,2,0:49,0
12/29/22,185,Fox,1,0:28,0
12/30/22,186,Fox,2,1:23,0
12/31/22,187,Fox,8,3:01,0
01/01/23,188,Fox,1,0:44,0
01/02/23,189,Fox,,,
01/03/23,190,Fox,7,3:41,0
01/04/23,191,Fox,2,1:10,0
01/05/23,192,Fox,6,2:15,0
01/06/23,193,Fox,1,1:41,0
01/07/23,194,Fox,2,0:32,0
01/08/23,195,Fox,3,0:55,0
01/09/23,196,Fox,6,2:35,0
01/10/23,197,Fox,2,1:05,0
01/11/23,198,Fox,92,27:48:00,0
01/12/23,199,Fox,1,0:45,0
01/13/23,200,Fox,2,0:46,0
01/14/23,201,Fox,2,1:11,0
01/15/23,202,Fox,1,0:14,0
01/16/23,203,Fox,1,0:24,0
01/17/23,204,Fox,9,4:13,0
01/18/23,205,Fox,2,1:01,0
01/19/23,206,Fox,4,1:02,0
01/20/23,207,Fox,4,1:05,0
01/21/23,208,Fox,1,0:23,0
01/22/23,209,Fox,5,1:47,0
01/23/23,210,Fox,4,2:17,0
01/24/23,211,Fox,1,0:25,0
01/25/23,212,Fox,3,1:00,0
01/26/23,213,Fox,1,0:55,0
01/27/23,214,Fox,1,0:35,0
01/28/23,215,Fox,1,0:18,0
01/29/23,216,Fox,2,1:19,0
01/30/23,217,Fox,2,0:41,0
01/31/23,218,Fox,3,1:01,0
02/01/23,219,Fox,7,2:18,0
02/02/23,220,Fox,9,2:57,0
02/03/23,221,Fox,2,0:45,0
02/04/23,222,Fox,2,0:59,0
02/05/23,223,Fox,4,1:27,0
02/06/23,224,Fox,4,1:37,0
02/07/23,225,Fox,5,2:04,0
02/08/23,226,Fox,2,0:34,0
02/09/23,227,Fox,3,1:08,0
02/10/23,228,Fox,7,1:51,0
02/11/23,229,Fox,2,0:47,0
02/12/23,230,Fox,5,1:42,0
02/13/23,231,Fox,2,1:01,0
02/14/23,232,Fox,23,4:10,0
